dataPK,dataNro,dataNro,dataCompleta,diaDaSemana,mesEscrito,ano,anoMes,mesAnoEscrito,nroDiaNaSemana,diaDoMes,diaDoAno,mesDoAno,semanaDoAno
1,20100101,1,January 01 2010,Friday,January,2010,201001,Jan2010,6,1,1,1,1
2,20100102,2,January 02 2010,Saturday,January,2010,201001,Jan2010,7,2,2,1,1
3,20100103,3,January 03 2010,Sunday,January,2010,201001,Jan2010,1,3,3,1,2
4,20100104,4,January 04 2010,Monday,January,2010,201001,Jan2010,2,4,4,1,2
5,20100105,5,January 05 2010,Tuesday,January,2010,201001,Jan2010,3,5,5,1,2
6,20100106,6,January 06 2010,Wednesday,January,2010,201001,Jan2010,4,6,6,1,2
7,20100107,7,January 07 2010,Thursday,January,2010,201001,Jan2010,5,7,7,1,2
8,20100108,8,January 08 2010,Friday,January,2010,201001,Jan2010,6,8,8,1,2
9,20100109,9,January 09 2010,Saturday,January,2010,201001,Jan2010,7,9,9,1,2
10,20100110,10,January 10 2010,Sunday,January,2010,201001,Jan2010,1,10,10,1,3
11,20100111,11,January 11 2010,Monday,January,2010,201001,Jan2010,2,11,11,1,3
12,20100112,12,January 12 2010,Tuesday,January,2010,201001,Jan2010,3,12,12,1,3
13,20100113,13,January 13 2010,Wednesday,January,2010,201001,Jan2010,4,13,13,1,3
14,20100114,14,January 14 2010,Thursday,January,2010,201001,Jan2010,5,14,14,1,3
15,20100115,15,January 15 2010,Friday,January,2010,201001,Jan2010,6,15,15,1,3
16,20100116,16,January 16 2010,Saturday,January,2010,201001,Jan2010,7,16,16,1,3
17,20100117,17,January 17 2010,Sunday,January,2010,201001,Jan2010,1,17,17,1,4
18,20100118,18,January 18 2010,Monday,January,2010,201001,Jan2010,2,18,18,1,4
19,20100119,19,January 19 2010,Tuesday,January,2010,201001,Jan2010,3,19,19,1,4
20,20100120,20,January 20 2010,Wednesday,January,2010,201001,Jan2010,4,20,20,1,4
21,20100121,21,January 21 2010,Thursday,January,2010,201001,Jan2010,5,21,21,1,4
22,20100122,22,January 22 2010,Friday,January,2010,201001,Jan2010,6,22,22,1,4
23,20100123,23,January 23 2010,Saturday,January,2010,201001,Jan2010,7,23,23,1,4
24,20100124,24,January 24 2010,Sunday,January,2010,201001,Jan2010,1,24,24,1,5
25,20100125,25,January 25 2010,Monday,January,2010,201001,Jan2010,2,25,25,1,5
26,20100126,26,January 26 2010,Tuesday,January,2010,201001,Jan2010,3,26,26,1,5
27,20100127,27,January 27 2010,Wednesday,January,2010,201001,Jan2010,4,27,27,1,5
28,20100128,28,January 28 2010,Thursday,January,2010,201001,Jan2010,5,28,28,1,5
29,20100129,29,January 29 2010,Friday,January,2010,201001,Jan2010,6,29,29,1,5
30,20100130,30,January 30 2010,Saturday,January,2010,201001,Jan2010,7,30,30,1,5
31,20100131,31,January 31 2010,Sunday,January,2010,201001,Jan2010,1,31,31,1,6
32,20100201,32,February 01 2010,Monday,February,2010,201002,Feb2010,2,1,32,2,6
33,20100202,33,February 02 2010,Tuesday,February,2010,201002,Feb2010,3,2,33,2,6
34,20100203,34,February 03 2010,Wednesday,February,2010,201002,Feb2010,4,3,34,2,6
35,20100204,35,February 04 2010,Thursday,February,2010,201002,Feb2010,5,4,35,2,6
36,20100205,36,February 05 2010,Friday,February,2010,201002,Feb2010,6,5,36,2,6
37,20100206,37,February 06 2010,Saturday,February,2010,201002,Feb2010,7,6,37,2,6
38,20100207,38,February 07 2010,Sunday,February,2010,201002,Feb2010,1,7,38,2,7
39,20100208,39,February 08 2010,Monday,February,2010,201002,Feb2010,2,8,39,2,7
40,20100209,40,February 09 2010,Tuesday,February,2010,201002,Feb2010,3,9,40,2,7
41,20100210,41,February 10 2010,Wednesday,February,2010,201002,Feb2010,4,10,41,2,7
42,20100211,42,February 11 2010,Thursday,February,2010,201002,Feb2010,5,11,42,2,7
43,20100212,43,February 12 2010,Friday,February,2010,201002,Feb2010,6,12,43,2,7
44,20100213,44,February 13 2010,Saturday,February,2010,201002,Feb2010,7,13,44,2,7
45,20100214,45,February 14 2010,Sunday,February,2010,201002,Feb2010,1,14,45,2,8
46,20100215,46,February 15 2010,Monday,February,2010,201002,Feb2010,2,15,46,2,8
47,20100216,47,February 16 2010,Tuesday,February,2010,201002,Feb2010,3,16,47,2,8
48,20100217,48,February 17 2010,Wednesday,February,2010,201002,Feb2010,4,17,48,2,8
49,20100218,49,February 18 2010,Thursday,February,2010,201002,Feb2010,5,18,49,2,8
50,20100219,50,February 19 2010,Friday,February,2010,201002,Feb2010,6,19,50,2,8
51,20100220,51,February 20 2010,Saturday,February,2010,201002,Feb2010,7,20,51,2,8
52,20100221,52,February 21 2010,Sunday,February,2010,201002,Feb2010,1,21,52,2,9
53,20100222,53,February 22 2010,Monday,February,2010,201002,Feb2010,2,22,53,2,9
54,20100223,54,February 23 2010,Tuesday,February,2010,201002,Feb2010,3,23,54,2,9
55,20100224,55,February 24 2010,Wednesday,February,2010,201002,Feb2010,4,24,55,2,9
56,20100225,56,February 25 2010,Thursday,February,2010,201002,Feb2010,5,25,56,2,9
57,20100226,57,February 26 2010,Friday,February,2010,201002,Feb2010,6,26,57,2,9
58,20100227,58,February 27 2010,Saturday,February,2010,201002,Feb2010,7,27,58,2,9
59,20100228,59,February 28 2010,Sunday,February,2010,201002,Feb2010,1,28,59,2,10
60,20100301,60,March 01 2010,Monday,March,2010,201003,Mar2010,2,1,60,3,10
61,20100302,61,March 02 2010,Tuesday,March,2010,201003,Mar2010,3,2,61,3,10
62,20100303,62,March 03 2010,Wednesday,March,2010,201003,Mar2010,4,3,62,3,10
63,20100304,63,March 04 2010,Thursday,March,2010,201003,Mar2010,5,4,63,3,10
64,20100305,64,March 05 2010,Friday,March,2010,201003,Mar2010,6,5,64,3,10
65,20100306,65,March 06 2010,Saturday,March,2010,201003,Mar2010,7,6,65,3,10
66,20100307,66,March 07 2010,Sunday,March,2010,201003,Mar2010,1,7,66,3,11
67,20100308,67,March 08 2010,Monday,March,2010,201003,Mar2010,2,8,67,3,11
68,20100309,68,March 09 2010,Tuesday,March,2010,201003,Mar2010,3,9,68,3,11
69,20100310,69,March 10 2010,Wednesday,March,2010,201003,Mar2010,4,10,69,3,11
70,20100311,70,March 11 2010,Thursday,March,2010,201003,Mar2010,5,11,70,3,11
71,20100312,71,March 12 2010,Friday,March,2010,201003,Mar2010,6,12,71,3,11
72,20100313,72,March 13 2010,Saturday,March,2010,201003,Mar2010,7,13,72,3,11
73,20100314,73,March 14 2010,Sunday,March,2010,201003,Mar2010,1,14,73,3,12
74,20100315,74,March 15 2010,Monday,March,2010,201003,Mar2010,2,15,74,3,12
75,20100316,75,March 16 2010,Tuesday,March,2010,201003,Mar2010,3,16,75,3,12
76,20100317,76,March 17 2010,Wednesday,March,2010,201003,Mar2010,4,17,76,3,12
77,20100318,77,March 18 2010,Thursday,March,2010,201003,Mar2010,5,18,77,3,12
78,20100319,78,March 19 2010,Friday,March,2010,201003,Mar2010,6,19,78,3,12
79,20100320,79,March 20 2010,Saturday,March,2010,201003,Mar2010,7,20,79,3,12
80,20100321,80,March 21 2010,Sunday,March,2010,201003,Mar2010,1,21,80,3,13
81,20100322,81,March 22 2010,Monday,March,2010,201003,Mar2010,2,22,81,3,13
82,20100323,82,March 23 2010,Tuesday,March,2010,201003,Mar2010,3,23,82,3,13
83,20100324,83,March 24 2010,Wednesday,March,2010,201003,Mar2010,4,24,83,3,13
84,20100325,84,March 25 2010,Thursday,March,2010,201003,Mar2010,5,25,84,3,13
85,20100326,85,March 26 2010,Friday,March,2010,201003,Mar2010,6,26,85,3,13
86,20100327,86,March 27 2010,Saturday,March,2010,201003,Mar2010,7,27,86,3,13
87,20100328,87,March 28 2010,Sunday,March,2010,201003,Mar2010,1,28,87,3,14
88,20100329,88,March 29 2010,Monday,March,2010,201003,Mar2010,2,29,88,3,14
89,20100330,89,March 30 2010,Tuesday,March,2010,201003,Mar2010,3,30,89,3,14
90,20100331,90,March 31 2010,Wednesday,March,2010,201003,Mar2010,4,31,90,3,14
91,20100401,91,April 01 2010,Thursday,April,2010,201004,Apr2010,5,1,91,4,14
92,20100402,92,April 02 2010,Friday,April,2010,201004,Apr2010,6,2,92,4,14
93,20100403,93,April 03 2010,Saturday,April,2010,201004,Apr2010,7,3,93,4,14
94,20100404,94,April 04 2010,Sunday,April,2010,201004,Apr2010,1,4,94,4,15
95,20100405,95,April 05 2010,Monday,April,2010,201004,Apr2010,2,5,95,4,15
96,20100406,96,April 06 2010,Tuesday,April,2010,201004,Apr2010,3,6,96,4,15
97,20100407,97,April 07 2010,Wednesday,April,2010,201004,Apr2010,4,7,97,4,15
98,20100408,98,April 08 2010,Thursday,April,2010,201004,Apr2010,5,8,98,4,15
99,20100409,99,April 09 2010,Friday,April,2010,201004,Apr2010,6,9,99,4,15
100,20100410,100,April 10 2010,Saturday,April,2010,201004,Apr2010,7,10,100,4,15
101,20100411,101,April 11 2010,Sunday,April,2010,201004,Apr2010,1,11,101,4,16
102,20100412,102,April 12 2010,Monday,April,2010,201004,Apr2010,2,12,102,4,16
103,20100413,103,April 13 2010,Tuesday,April,2010,201004,Apr2010,3,13,103,4,16
104,20100414,104,April 14 2010,Wednesday,April,2010,201004,Apr2010,4,14,104,4,16
105,20100415,105,April 15 2010,Thursday,April,2010,201004,Apr2010,5,15,105,4,16
106,20100416,106,April 16 2010,Friday,April,2010,201004,Apr2010,6,16,106,4,16
107,20100417,107,April 17 2010,Saturday,April,2010,201004,Apr2010,7,17,107,4,16
108,20100418,108,April 18 2010,Sunday,April,2010,201004,Apr2010,1,18,108,4,17
109,20100419,109,April 19 2010,Monday,April,2010,201004,Apr2010,2,19,109,4,17
110,20100420,110,April 20 2010,Tuesday,April,2010,201004,Apr2010,3,20,110,4,17
111,20100421,111,April 21 2010,Wednesday,April,2010,201004,Apr2010,4,21,111,4,17
112,20100422,112,April 22 2010,Thursday,April,2010,201004,Apr2010,5,22,112,4,17
113,20100423,113,April 23 2010,Friday,April,2010,201004,Apr2010,6,23,113,4,17
114,20100424,114,April 24 2010,Saturday,April,2010,201004,Apr2010,7,24,114,4,17
115,20100425,115,April 25 2010,Sunday,April,2010,201004,Apr2010,1,25,115,4,18
116,20100426,116,April 26 2010,Monday,April,2010,201004,Apr2010,2,26,116,4,18
117,20100427,117,April 27 2010,Tuesday,April,2010,201004,Apr2010,3,27,117,4,18
118,20100428,118,April 28 2010,Wednesday,April,2010,201004,Apr2010,4,28,118,4,18
119,20100429,119,April 29 2010,Thursday,April,2010,201004,Apr2010,5,29,119,4,18
120,20100430,120,April 30 2010,Friday,April,2010,201004,Apr2010,6,30,120,4,18
