descreveExamePK,dataPK,hospitalPK,idadePK,quantidadeExames
98234,2667,209,95,2
43208,1619,633,14,8
70536,1387,430,111,6
52802,1035,348,16,3
94221,996,475,108,10
19613,1960,605,66,6
7941,2929,477,45,4
98540,3138,440,40,2
30945,956,479,105,6
86528,1811,374,32,10
71290,2482,465,8,10
51122,2134,468,36,3
67539,2892,220,8,8
51725,33,548,38,1
3650,877,304,14,10
5181,3995,335,118,4
27562,3313,37,54,10
44404,2768,595,64,6
77839,191,540,57,7
83717,1640,341,102,7
60452,436,286,104,1
55188,1813,160,51,9
97260,3522,46,48,2
41437,3896,391,32,1
13037,3481,262,39,7
31988,236,150,94,7
58419,3224,580,41,7
79909,3095,230,42,9
92448,3903,369,56,8
21271,2453,570,7,4
44469,3513,537,50,9
94517,2790,80,91,2
56173,309,398,53,8
13880,722,627,44,9
90157,1966,523,114,4
74717,3051,43,85,7
47899,2527,559,19,5
37247,1757,610,110,5
59217,743,70,91,9
83345,1861,631,71,10
49931,3509,450,103,7
33979,2498,337,53,4
48599,2826,328,19,4
28600,1678,48,111,7
73626,914,402,43,1
67881,2691,293,46,10
70346,2615,351,39,6
5207,1566,390,42,5
71901,3382,32,94,2
30827,185,157,65,4
89244,1029,244,22,6
44941,3550,129,25,8
53251,2217,128,74,10
43736,3591,224,64,3
56583,211,384,72,2
97779,3084,13,32,5
90097,1647,484,50,1
68194,3953,471,30,9
63933,3177,34,121,3
51387,3818,421,78,1
71119,1493,332,32,2
50063,3452,66,88,5
38107,2399,206,67,6
25000,3751,94,119,10
2538,3115,5,92,3
87501,3934,295,61,7
99524,3854,294,70,6
85649,2276,607,75,7
79060,3778,311,86,3
59777,1633,6,86,1
56533,1565,238,70,2
72621,3035,500,45,3
5823,3855,364,31,4
92886,2765,519,98,4
11595,2644,155,1,2
10653,1848,276,100,8
96670,761,455,109,5
2517,3886,125,29,5
39681,3443,107,44,9
24387,1876,176,66,9
75386,886,246,46,8
39593,2947,58,84,4
95971,2849,548,95,1
59699,1190,373,89,5
39228,2605,181,18,10
99780,1208,209,102,7
58602,3482,586,61,7
18098,1468,70,61,3
59143,2578,501,70,9
18007,3221,140,8,1
62627,439,538,71,8
32397,3865,91,112,7
35779,274,33,83,5
58626,1695,97,57,5
39012,483,487,107,2
52328,639,525,10,7
53884,2893,19,3,6
97375,1306,495,106,9
14171,3131,337,25,3
68840,64,195,38,2
43879,2818,39,37,3
58675,1888,283,93,2
76818,2746,43,115,10
36796,2408,159,119,10
43392,2104,366,87,2
68679,2973,354,10,2
60091,2278,433,48,9
72791,3206,386,52,6
19218,636,605,5,7
12978,1906,517,13,1
26445,2548,290,105,1
70828,2688,274,84,3
17011,1498,198,12,3
65787,3926,589,119,4
87157,3293,153,18,1
32085,1877,425,88,9
46125,1255,640,118,3
41003,2209,530,8,1
91126,3674,509,118,3
89871,1417,575,45,8
57912,757,73,44,1
82667,3706,9,120,4
10237,3826,261,58,8
57965,3177,48,25,3
53178,3531,10,21,7
40288,3741,73,71,8
25920,3969,490,33,7
21933,3255,416,70,10
57343,348,300,61,2
68829,3559,542,86,4
66300,3382,95,53,1
3596,112,315,113,8
41601,594,387,21,4
9074,781,28,114,1
51218,3801,4,85,8
18894,2733,129,29,7
48450,3222,418,66,3
18355,2193,491,35,2
20685,2439,223,33,2
55339,2963,99,4,6
64669,290,559,12,1
71140,847,370,15,6
35329,870,219,28,10
94954,375,493,113,2
28867,523,402,100,3
63290,2810,470,13,7
70281,2845,148,80,6
51892,2832,175,118,3
98652,461,641,85,10
56362,3998,324,32,6
46466,2879,207,62,5
82738,2469,486,23,4
33486,1083,278,106,5
62719,1949,293,81,8
60987,2654,335,64,10
78824,937,251,101,4
3675,1282,134,67,3
7990,2092,367,56,4
76630,3877,481,67,1
52503,3310,248,27,7
50676,820,45,121,8
27004,625,287,102,5
75440,957,83,96,2
18722,310,547,50,4
80796,3968,1,93,4
15897,2249,247,117,7
94328,3005,102,61,10
30287,3457,136,121,6
56414,3339,525,26,7
69048,104,622,12,1
71796,254,221,78,6
57188,1956,388,108,6
62122,2426,528,98,8
36412,3812,431,108,6
11372,585,48,71,2
74323,675,606,47,4
68264,2504,182,57,1
3666,110,468,93,3
55611,893,23,53,10
4321,1206,501,37,8
44037,255,565,56,10
56058,2107,324,42,3
39197,3130,413,23,5
57587,1436,379,100,2
67404,3091,451,87,1
75142,264,233,6,7
71199,3562,34,76,9
83910,3446,259,85,9
97875,1825,615,70,1
94657,2028,533,83,8
62696,1642,321,34,5
31648,1303,361,73,4
1463,1452,238,50,2
37568,2229,61,101,7
54230,1923,108,39,7
49892,2289,70,80,7
97593,506,143,110,8
93234,944,121,57,6
40295,2072,458,82,5
68134,1566,557,119,2
33505,3604,297,103,4
29417,1523,351,112,6
76345,431,64,108,1
37009,112,465,36,5
64680,3974,556,42,10
97907,562,328,14,3
12822,3383,35,2,6
91198,1501,444,56,5
92405,1222,451,83,10
16129,136,242,54,6
75206,2719,248,73,2
94200,913,316,88,1
4,3471,645,31,2
60015,3455,94,7,5
99400,3487,302,116,8
88539,1023,102,61,8
37255,1705,333,71,7
75100,533,459,84,1
41375,2786,161,27,9
2790,1159,227,116,7
36727,1798,292,88,7
79331,3136,297,97,5
44311,360,441,117,3
1180,1429,94,69,7
14679,2870,159,117,8
97861,2540,77,46,7
91248,102,522,23,1
40705,1793,466,94,7
35450,1230,371,2,1
23070,2935,262,15,5
97943,2643,11,86,2
80607,1815,592,37,2
94507,363,221,71,9
13721,193,434,68,9
94688,196,607,82,7
6411,1395,372,78,7
50478,2155,624,14,4
52846,3312,200,90,3
57972,2593,360,79,1
32596,2416,509,29,5
19165,235,230,78,8
36318,3916,150,108,7
1853,689,162,33,5
55599,3406,28,53,8
13432,3542,445,100,7
378,728,423,34,4
78724,34,431,88,7
54410,285,15,29,7
50053,1147,193,22,10
33941,1939,21,55,5
99996,3305,275,70,5
708,918,433,55,7
17461,689,335,39,8
46122,2159,375,100,5
50139,1422,380,87,10
83845,318,291,82,3
12638,2062,186,119,8
